what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1423758238445
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1423758238449
started,bundle,org.jboss.tools.common.validation,3.3.1.v20130102-1651-H83-Final,"org.jboss.tools.common.validation",1423758238457
started,bundle,org.eclipse.wst.css.core,1.1.501.v201111292150,"org.eclipse.wst.css.core",1423758238502
started,bundle,org.jboss.tools.cdi.seam.core,1.2.0.v20130102-1842-H87-Final,"org.jboss.tools.cdi.seam.core",1423758238568
started,bundle,org.jboss.tools.jsf,3.3.1.v20130112-0128-H128-Final,"org.jboss.tools.jsf",1423758238609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423758240362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423758240506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423758243276
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423758243415
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1423758244075
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1423758244197
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1423758248013
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1423758248180
started,bundle,org.jboss.tools.jst.jsp,3.3.1.v20130102-1748-H95-Final,"org.jboss.tools.jst.jsp",1423758274843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423758280367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423758280475
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1423758280763
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1423758280846
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423758291974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423758292104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423758298319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423758298477
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1423758298794
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1423758298896
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1423758301959
