what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424361621355
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424361637718
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424361642222
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424361646110
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424361651864
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424361659603
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424361674056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424361689685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424361693725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424361709301
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424361721172
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1424361724891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424361734004
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424361736396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424361745510
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424361750563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424361753455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424361755539
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1424361759008
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1424361766044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424361777225
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424361796541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1424361802671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424361827252
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424361829518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424361835891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424361839903
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424361867352
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424361877583
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424361882379
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424361882483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424361888505
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424361888629
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424361888855
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424361888960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424361892755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424361892935
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424361893141
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424361893251
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424361900526
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424361905134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424361908223
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424361908450
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424361908539
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1424361918917
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1424361921052
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424361926036
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424361979866
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424361985474
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424361994725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424361994849
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1424361998209
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424362000610
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1424362004783
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424362008430
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1424362012233
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424362013896
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1424362015259
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424362025602
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424362046033
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424362046970
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424362057660
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424362071397
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424362085996
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424362110999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424362119908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424362126824
