what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424212554132
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424212573958
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.TypeHierarchy",1424212577683
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.TypeHierarchy",1424212577820
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1424212585647
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.showSystemMenu",1424212616214
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424212616731
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.TypeHierarchy",1424212619942
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424212621982
closed,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.TypeHierarchy",1424212622052
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1424212626875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424212637244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424212639833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424212646108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424212648219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424212656129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424212661740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424212668280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424212679000
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424212680015
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1424212680645
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.linkWithEditor",1424212684488
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.linkWithEditor",1424212685485
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.collapseAll",1424212687152
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.collapseAll",1424212687866
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1424212740948
