what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422659961462
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422659961683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422659962630
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422659970685
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1422659979539
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1422659986752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422659989060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422659996380
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1422659998448
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1422659999380
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1422660019750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422660022129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422660141316
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1422660157861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422660160181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422660165612
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1422660171279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422660172633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422660177307
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1422660182442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422660183640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422660188265
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1422660199089
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422660200638
error,log,,,"Internal Error",1422660204079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422660205968
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1422660215987
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422660217070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422660221717
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1422660230436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422660231631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422660234416
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422660237900
error,log,,,"Internal Error",1422660246976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422660257772
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1422660260133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422660266755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422660266852
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1422660270031
